date,location,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated,daily_vaccinations,share_doses_used,total_boosters
2020-12-20,United States,556208.0,,,,,,
2020-12-21,United States,614117.0,,,,57909.0,,
2020-12-22,United States,,,,,127432.0,,
2020-12-23,United States,1008025.0,,,,150606.0,,
2020-12-24,United States,,,,,191001.0,,
2020-12-25,United States,,,,,215238.0,,
2020-12-26,United States,1944585.0,,,,231396.0,,
2020-12-27,United States,,,,,211379.0,,
2020-12-28,United States,2127143.0,,,,216147.0,,
2020-12-29,United States,,,,,235685.0,,
2020-12-30,United States,2794588.0,,,,255223.0,,
2020-12-31,United States,,,,,278776.0,,
2021-01-01,United States,,,,,302329.0,,
2021-01-02,United States,4225756.0,,,,325882.0,,
2021-01-03,United States,,,,,336949.0,,
2021-01-04,United States,4563260.0,,,,348017.0,,
2021-01-05,United States,4836469.0,,,,339372.0,,
2021-01-06,United States,5306797.0,,,,358887.0,,
2021-01-07,United States,5919418.0,,,,378253.0,,
2021-01-08,United States,6688231.0,,,,419933.0,,
2021-01-09,United States,,,,,461263.0,,
2021-01-10,United States,,,,,546636.0,,
2021-01-11,United States,8987322.0,,,,632009.0,,
2021-01-12,New Mexico,78235.0,177075.0,43344.0,11335.0,,0.442,
2021-01-12,Colorado,224428.0,516750.0,187838.0,36425.0,,0.434,
2021-01-12,Dept of Defense,139439.0,376150.0,131056.0,8383.0,,0.371,
2021-01-12,Washington,195567.0,567725.0,162105.0,17689.0,,0.344,
2021-01-12,South Carolina,81075.0,315950.0,77042.0,3954.0,,0.257,
2021-01-12,Nevada,61653.0,207150.0,31320.0,8761.0,,0.298,
2021-01-12,Connecticut,151395.0,250775.0,56350.0,4174.0,,0.604,
2021-01-12,New Hampshire,50613.0,122350.0,11615.0,5.0,,0.414,
2021-01-12,New Jersey,221045.0,654900.0,206737.0,14306.0,,0.33799999999999997,
2021-01-12,West Virginia,103330.0,160975.0,,,,0.642,
2021-01-12,Rhode Island,39568.0,80225.0,35385.0,4141.0,,0.493,
2021-01-12,California,816301.0,3286050.0,703540.0,100089.0,,0.248,
2021-01-12,Delaware,26410.0,88325.0,15911.0,2784.0,,0.299,
2021-01-12,Republic of Palau,416.0,6000.0,416.0,,,0.069,
2021-01-12,Alabama,78134.0,377025.0,70861.0,7270.0,,0.207,
2021-01-12,North Carolina,211610.0,836450.0,189213.0,19293.0,,0.253,
2021-01-12,Bureau of Prisons,14663.0,16050.0,5199.0,1077.0,,0.914,
2021-01-12,Wisconsin,137253.0,429500.0,125895.0,11343.0,,0.32,
2021-01-12,Arkansas,40879.0,274400.0,39357.0,8.0,,0.149,
2021-01-12,Nebraska,74439.0,177375.0,65924.0,8459.0,,0.42,
2021-01-12,North Dakota,39479.0,53525.0,33648.0,5815.0,,0.738,
2021-01-12,Puerto Rico,74559.0,277200.0,61486.0,7666.0,,0.26899999999999996,
2021-01-12,Northern Mariana Islands,3722.0,18650.0,1094.0,331.0,,0.2,
2021-01-12,Arizona,141355.0,563025.0,95141.0,8343.0,,0.251,
2021-01-12,Wyoming,16467.0,47800.0,13577.0,2116.0,,0.344,
2021-01-12,Ohio,311890.0,866050.0,311867.0,,,0.36,
2021-01-12,American Samoa,2124.0,10650.0,842.0,260.0,,0.19899999999999998,
2021-01-12,Pennsylvania,341948.0,974725.0,266288.0,10591.0,,0.35100000000000003,
2021-01-12,Oklahoma,157843.0,381375.0,109045.0,17463.0,,0.414,
2021-01-12,New York State,579532.0,1622100.0,543014.0,36422.0,,0.35700000000000004,
2021-01-12,District of Columbia,29812.0,62725.0,,,,0.475,
2021-01-12,Michigan,227685.0,768150.0,207786.0,19472.0,,0.29600000000000004,
2021-01-12,Federated States of Micronesia,424.0,9800.0,414.0,,,0.043,
2021-01-12,Utah,95225.0,256275.0,90613.0,4608.0,,0.37200000000000005,
2021-01-12,Kentucky,132114.0,329450.0,102517.0,6335.0,,0.401,
2021-01-12,Iowa,98691.0,208875.0,91969.0,6099.0,,0.47200000000000003,
2021-01-12,Indiana,191844.0,540475.0,114781.0,23546.0,,0.355,
2021-01-12,Long Term Care,951774.0,4385175.0,948869.0,2429.0,,0.217,
2021-01-12,Vermont,25757.0,64925.0,,,,0.397,
2021-01-12,Louisiana,142771.0,368300.0,117022.0,18314.0,,0.38799999999999996,
2021-01-12,Indian Health Svc,68387.0,224425.0,16105.0,236.0,,0.305,
2021-01-12,United States,9327138.0,27696150.0,7398897.0,782228.0,641524.0,0.337,
2021-01-12,Maine,54945.0,132975.0,38045.0,4518.0,,0.413,
2021-01-12,Illinois,347005.0,903100.0,284035.0,62757.0,,0.384,
2021-01-12,Marshall Islands,639.0,13600.0,623.0,1.0,,0.047,
2021-01-12,Idaho,35845.0,146750.0,31504.0,4308.0,,0.244,
2021-01-12,Veterans Health,226754.0,885950.0,207449.0,19301.0,,0.256,
2021-01-12,Texas,911461.0,1949125.0,809148.0,101317.0,,0.46799999999999997,
2021-01-12,Maryland,146231.0,552800.0,136576.0,6663.0,,0.265,
2021-01-12,Hawaii,33483.0,141750.0,,,,0.23600000000000002,
2021-01-12,Massachusetts,204082.0,476025.0,184984.0,19073.0,,0.429,
2021-01-12,Guam,3791.0,26500.0,401.0,,,0.14300000000000002,
2021-01-12,Alaska,35838.0,141600.0,22486.0,5400.0,,0.253,
2021-01-12,Virgin Islands,880.0,9175.0,,,,0.096,
2021-01-12,Georgia,170571.0,960975.0,85110.0,7746.0,,0.177,
2021-01-12,Tennessee,251257.0,485800.0,143735.0,17914.0,,0.517,
2021-01-12,Minnesota,162240.0,453200.0,152280.0,9798.0,,0.358,
2021-01-12,Florida,633440.0,1676300.0,586741.0,41725.0,,0.37799999999999995,
2021-01-12,Mississippi,54544.0,212050.0,45733.0,4832.0,,0.257,
2021-01-12,Virginia,190607.0,797150.0,,,,0.239,
2021-01-12,South Dakota,48698.0,83500.0,41322.0,7374.0,,0.583,
2021-01-12,Missouri,161784.0,485175.0,107939.0,22155.0,,0.33299999999999996,
2021-01-12,Montana,42083.0,78350.0,30887.0,5843.0,,0.537,
2021-01-12,Oregon,104610.0,321425.0,99594.0,4813.0,,0.325,
2021-01-12,Kansas,78268.0,193175.0,53988.0,9577.0,,0.405,
2021-01-13,Colorado,239665.0,530800.0,198227.0,41271.0,15237.0,0.452,
2021-01-13,Massachusetts,217443.0,656850.0,192619.0,24789.0,13361.0,0.331,
